35.8.133.141,1,2
64.113.50.104,1,2
141.211.7.160,1,2
141.193.177.107,1,2
207.74.75.2,1,2
35.9.10.80,2,4
153.106.194.110,1,2
35.9.123.51,1,2
64.113.57.226,1,2
141.214.174.79,1,2
208.64.36.149,2,4
141.211.7.150,1,2
198.110.48.24,1,2
141.212.113.49,2,4
141.193.178.29,2,4
207.190.177.231,1,2
141.212.114.137,1,2
141.219.100.10,1,2
199.16.184.37,1,2
207.190.176.165,1,2
141.211.7.210,1,2
35.8.12.189,1,2
164.76.2.163,2,4
64.113.59.154,1,2
35.8.12.114,2,4
141.211.217.200,1,2
141.209.28.73,1,2
35.9.123.7,1,2
208.64.38.214,1,2
141.211.3.27,2,4
198.109.240.127,2,4
161.57.100.6,1,2
207.73.213.104,1,2
141.211.217.173,2,4
64.113.59.32,1,2
141.193.177.19,1,2
141.211.4.224,1,2
207.75.117.181,1,2
136.228.39.197,2,4
192.122.184.176,2,4
141.211.3.84,2,4
141.211.4.55,2,4
198.111.176.225,1,2
153.106.116.7,1,2
208.79.212.253,1,2
141.216.116.30,1,2
198.110.48.124,2,4
141.216.5.200,1,2
198.108.241.6,1,2
141.193.178.241,1,2
141.193.177.158,1,2
64.113.57.73,1,2
141.216.10.132,2,4
204.11.35.180,1,2
64.113.50.147,1,2
207.73.213.108,1,2
64.113.59.114,1,2
153.106.195.13,1,2
64.113.50.25,1,2
141.211.32.18,1,2
35.8.12.136,1,2
206.57.165.182,2,4
64.235.150.116,2,4
64.113.57.116,2,4
35.8.29.135,2,4
35.8.12.3,1,2
153.106.8.11,1,2
74.3.176.208,1,2
